Gene_family	Centroid_gene_ID	GFF_locus_tag	Product	EC_number	Protein_id
g013137	GCF_000167875:NZ_AAJW02000020.1:63944-63321	GCF_000167875:DFDALBME_02300	Fructose import ATP-binding protein FruK	3.6.3.17	
g013138	GCF_000167875:NZ_AAJW02000020.1:64823-63978	GCF_000167875:DFDALBME_02301	Fructose import ATP-binding protein FruK	3.6.3.17	
g013139	GCF_000167875:NZ_AAJW02000020.1:80018-79638	GCF_000167875:DFDALBME_02313	HTH-type transcriptional activator HxlR		
g013140	GCF_000167875:NZ_AAJW02000020.1:8359-7001	GCF_000167875:DFDALBME_02248	hypothetical protein		
g013141	GCF_000167875:NZ_AAJW02000020.1:84268-82856	GCF_000167875:DFDALBME_02317	D-serine/D-alanine/glycine transporter		
g013142	GCF_000167875:NZ_AAJW02000020.1:844-482	GCF_000167875:DFDALBME_02235	hypothetical protein		
g013143	GCF_000167875:NZ_AAJW02000020.1:84876-84577	GCF_000167875:DFDALBME_02318	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	5.2.1.8	
g013144	GCF_000167875:NZ_AAJW02000020.1:893-1228	GCF_000167875:DFDALBME_02236	Insertion sequence IS5376 putative ATP-binding protein		
g013145	GCF_000167875:NZ_AAJW02000021.1:40189-39962	GCF_000167875:DFDALBME_02194	Isochorismatase family protein YecD	3.-.-.-	
g013146	GCF_000167875:NZ_AAJW02000021.1:40528-40277	GCF_000167875:DFDALBME_02195	Isochorismatase family protein YecD	3.-.-.-	
g013147	GCF_000167875:NZ_AAJW02000021.1:61544-61338	GCF_000167875:DFDALBME_02216	hypothetical protein		
g013148	GCF_000167875:NZ_AAJW02000021.1:65305-64676	GCF_000167875:DFDALBME_02220	Exodeoxyribonuclease 10	3.1.11.-	
g013149	GCF_000167875:NZ_AAJW02000022.1:21280-22638	GCF_000167875:DFDALBME_02096	Tryptophan biosynthesis protein TrpCF		
g013150	GCF_000167875:NZ_AAJW02000022.1:28175-28714	GCF_000167875:DFDALBME_02104	putative intracellular septation protein A		
g013151	GCF_000167875:NZ_AAJW02000022.1:29976-29257	GCF_000167875:DFDALBME_02106	Protein TonB		
g013152	GCF_000167875:NZ_AAJW02000022.1:69403-69510	GCF_000167875:DFDALBME_02145	Small toxic polypeptide LdrA		
g013153	GCF_000167875:NZ_AAJW02000023.1:11306-10908	GCF_000167875:DFDALBME_01990	Hydrogenase-1 operon protein HyaE		
g013154	GCF_000167875:NZ_AAJW02000023.1:16968-17861	GCF_000167875:DFDALBME_01997	Secreted effector protein EspF(U)		
g013155	GCF_000167875:NZ_AAJW02000023.1:18257-17988	GCF_000167875:DFDALBME_01998	hypothetical protein		
g013156	GCF_000167875:NZ_AAJW02000023.1:23774-20298	GCF_000167875:DFDALBME_02001	hypothetical protein		
g013157	GCF_000167875:NZ_AAJW02000023.1:23908-24435	GCF_000167875:DFDALBME_02002	Superoxide dismutase [Cu-Zn] 1	1.15.1.1	
g013158	GCF_000167875:NZ_AAJW02000023.1:25207-24626	GCF_000167875:DFDALBME_02003	hypothetical protein		
g013159	GCF_000167875:NZ_AAJW02000023.1:29556-26977	GCF_000167875:DFDALBME_02007	hypothetical protein		
g013160	GCF_000167875:NZ_AAJW02000023.1:30408-29977	GCF_000167875:DFDALBME_02009	hypothetical protein		
g013161	GCF_000167875:NZ_AAJW02000023.1:42881-42348	GCF_000167875:DFDALBME_02025	Lysozyme RrrD	3.2.1.17	
g013162	GCF_000167875:NZ_AAJW02000023.1:50598-49891	GCF_000167875:DFDALBME_02039	hypothetical protein		
g013163	GCF_000167875:NZ_AAJW02000023.1:50940-50656	GCF_000167875:DFDALBME_02040	hypothetical protein		
g013164	GCF_000167875:NZ_AAJW02000023.1:55174-54752	GCF_000167875:DFDALBME_02050	hypothetical protein		
g013165	GCF_000167875:NZ_AAJW02000023.1:56782-56357	GCF_000167875:DFDALBME_02052	hypothetical protein		
g013166	GCF_000167875:NZ_AAJW02000023.1:57044-57760	GCF_000167875:DFDALBME_02054	putative HTH-type transcriptional regulator		
g013167	GCF_000167875:NZ_AAJW02000023.1:58033-58185	GCF_000167875:DFDALBME_02055	hypothetical protein		
g013168	GCF_000167875:NZ_AAJW02000023.1:68162-68620	GCF_000167875:DFDALBME_02069	Methylglyoxal synthase	4.2.3.3	
g013169	GCF_000167875:NZ_AAJW02000023.1:90-1811	GCF_000167875:DFDALBME_01981	hypothetical protein		
g013170	GCF_000167875:NZ_AAJW02000024.1:10678-9557	GCF_000167875:DFDALBME_01930	Methyl-accepting chemotaxis protein I		
g013171	GCF_000167875:NZ_AAJW02000024.1:15239-15859	GCF_000167875:DFDALBME_01936	hypothetical protein		
g013172	GCF_000167875:NZ_AAJW02000024.1:15872-16405	GCF_000167875:DFDALBME_01937	Mrr restriction system protein		
g013173	GCF_000167875:NZ_AAJW02000024.1:18078-19469	GCF_000167875:DFDALBME_01939	hypothetical protein		
g013174	GCF_000167875:NZ_AAJW02000024.1:19564-22827	GCF_000167875:DFDALBME_01940	Type I restriction enzyme EcoR124II R protein	3.1.21.3	
g013175	GCF_000167875:NZ_AAJW02000024.1:23042-23380	GCF_000167875:DFDALBME_01941	Toxic protein SymE	3.1.-.-	
g013176	GCF_000167875:NZ_AAJW02000024.1:23586-23422	GCF_000167875:DFDALBME_01942	hypothetical protein		
g013177	GCF_000167875:NZ_AAJW02000024.1:32001-34094	GCF_000167875:DFDALBME_01951	Secreted effector protein PipB2		
g013178	GCF_000167875:NZ_AAJW02000024.1:35261-36439	GCF_000167875:DFDALBME_01953	hypothetical protein		
g013179	GCF_000167875:NZ_AAJW02000024.1:42845-43528	GCF_000167875:DFDALBME_01956	hypothetical protein		
g013180	GCF_000167875:NZ_AAJW02000024.1:47204-48034	GCF_000167875:DFDALBME_01961	hypothetical protein		
g013181	GCF_000167875:NZ_AAJW02000024.1:52228-53571	GCF_000167875:DFDALBME_01966	High-affinity gluconate transporter		
g013182	GCF_000167875:NZ_AAJW02000024.1:65861-66613	GCF_000167875:DFDALBME_01979	putative 9-O-acetyl-N-acetylneuraminic acid deacetylase	3.1.1.-	
g013183	GCF_000167875:NZ_AAJW02000024.1:67342-66617	GCF_000167875:DFDALBME_01980	hypothetical protein		
g013184	GCF_000167875:NZ_AAJW02000024.1:7618-8859	GCF_000167875:DFDALBME_01928	putative L-galactonate transporter		
g013185	GCF_000167875:NZ_AAJW02000024.1:9541-9023	GCF_000167875:DFDALBME_01929	Methyl-accepting chemotaxis protein I		
g013186	GCF_000167875:NZ_AAJW02000025.1:13335-13171	GCF_000167875:DFDALBME_01858	hypothetical protein		
g013187	GCF_000167875:NZ_AAJW02000025.1:14584-14150	GCF_000167875:DFDALBME_01860	hypothetical protein		
g013188	GCF_000167875:NZ_AAJW02000025.1:14819-14598	GCF_000167875:DFDALBME_01861	hypothetical protein		
g013189	GCF_000167875:NZ_AAJW02000025.1:15503-14820	GCF_000167875:DFDALBME_01862	DNA adenine methyltransferase YhdJ	2.1.1.72	
g013190	GCF_000167875:NZ_AAJW02000025.1:16022-16984	GCF_000167875:DFDALBME_01863	Plasmid segregation protein ParM		
g013191	GCF_000167875:NZ_AAJW02000025.1:16984-17337	GCF_000167875:DFDALBME_01864	Protein StbB		
g013192	GCF_000167875:NZ_AAJW02000025.1:18431-19003	GCF_000167875:DFDALBME_01867	Transcriptional regulatory protein UhpA		
g013193	GCF_000167875:NZ_AAJW02000025.1:19147-19299	GCF_000167875:DFDALBME_01868	hypothetical protein		
g013194	GCF_000167875:NZ_AAJW02000025.1:20919-20800	GCF_000167875:DFDALBME_01872	hypothetical protein		
g013195	GCF_000167875:NZ_AAJW02000025.1:21167-20916	GCF_000167875:DFDALBME_01873	hypothetical protein		
g013196	GCF_000167875:NZ_AAJW02000025.1:21979-21191	GCF_000167875:DFDALBME_01874	Transcriptional regulatory protein RstA		
g013197	GCF_000167875:NZ_AAJW02000025.1:22366-22950	GCF_000167875:DFDALBME_01875	hypothetical protein		
g013198	GCF_000167875:NZ_AAJW02000025.1:23003-23695	GCF_000167875:DFDALBME_01876	putative fimbrial chaperone YehC		
g013199	GCF_000167875:NZ_AAJW02000025.1:23711-26203	GCF_000167875:DFDALBME_01877	Outer membrane usher protein YehB		
g013200	GCF_000167875:NZ_AAJW02000025.1:26219-27283	GCF_000167875:DFDALBME_01878	putative fimbrial-like protein YehA		
g013201	GCF_000167875:NZ_AAJW02000025.1:28728-28495	GCF_000167875:DFDALBME_01880	hypothetical protein		
g013202	GCF_000167875:NZ_AAJW02000025.1:29744-29577	GCF_000167875:DFDALBME_01881	hypothetical protein		
g013203	GCF_000167875:NZ_AAJW02000025.1:30417-30148	GCF_000167875:DFDALBME_01883	hypothetical protein		
g013204	GCF_000167875:NZ_AAJW02000025.1:32189-31332	GCF_000167875:DFDALBME_01884	hypothetical protein		
g013205	GCF_000167875:NZ_AAJW02000025.1:34785-34573	GCF_000167875:DFDALBME_01889	hypothetical protein		
g013206	GCF_000167875:NZ_AAJW02000025.1:43812-41569	GCF_000167875:DFDALBME_01893	Coupling protein TraD		
g013207	GCF_000167875:NZ_AAJW02000025.1:48168-45346	GCF_000167875:DFDALBME_01896	hypothetical protein		
g013208	GCF_000167875:NZ_AAJW02000025.1:48717-48788	GCF_000167875:DFDALBME_01897	tRNA-Thr(ggt)		
g013209	GCF_000167875:NZ_AAJW02000025.1:50375-49830	GCF_000167875:DFDALBME_01899	hypothetical protein		
g013210	GCF_000167875:NZ_AAJW02000025.1:51755-51495	GCF_000167875:DFDALBME_01902	hypothetical protein		
g013211	GCF_000167875:NZ_AAJW02000025.1:56238-55852	GCF_000167875:DFDALBME_01907	hypothetical protein		
g013212	GCF_000167875:NZ_AAJW02000025.1:60258-59890	GCF_000167875:DFDALBME_01911	hypothetical protein		
g013213	GCF_000167875:NZ_AAJW02000025.1:60784-60197	GCF_000167875:DFDALBME_01912	hypothetical protein		
g013214	GCF_000167875:NZ_AAJW02000025.1:64182-63820	GCF_000167875:DFDALBME_01917	Pilin		
g013215	GCF_000167875:NZ_AAJW02000025.1:65398-64709	GCF_000167875:DFDALBME_01919	Protein TraJ		
g013216	GCF_000167875:NZ_AAJW02000025.1:6764-4806	GCF_000167875:DFDALBME_01848	Chromosome-partitioning protein Spo0J		
g013217	GCF_000167875:NZ_AAJW02000025.1:8550-8308	GCF_000167875:DFDALBME_01851	hypothetical protein		
g013218	GCF_000167875:NZ_AAJW02000026.1:2085-868	GCF_000167875:DFDALBME_01782	Prophage integrase IntS		
g013219	GCF_000167875:NZ_AAJW02000026.1:26097-25330	GCF_000167875:DFDALBME_01801	7-alpha-hydroxysteroid dehydrogenase	1.1.1.159	
g013220	GCF_000167875:NZ_AAJW02000026.1:49500-50162	GCF_000167875:DFDALBME_01827	hypothetical protein		
g013221	GCF_000167875:NZ_AAJW02000027.1:46203-46856	GCF_000167875:DFDALBME_01759	Glyoxalase ElbB	4.2.1.-	
g013222	GCF_000167875:NZ_AAJW02000028.1:13054-12413	GCF_000167875:DFDALBME_01674	Orotate phosphoribosyltransferase	2.4.2.10	
g013223	GCF_000167875:NZ_AAJW02000028.1:15047-15871	GCF_000167875:DFDALBME_01677	hypothetical protein		
g013224	GCF_000167875:NZ_AAJW02000028.1:2401-1394	GCF_000167875:DFDALBME_01661	General stress protein A		
g013225	GCF_000167875:NZ_AAJW02000028.1:34478-34711	GCF_000167875:DFDALBME_01692	hypothetical protein		
g013226	GCF_000167875:NZ_AAJW02000028.1:35665-35183	GCF_000167875:DFDALBME_01693	Secreted effector protein EspF(U)		
g013227	GCF_000167875:NZ_AAJW02000028.1:36255-36034	GCF_000167875:DFDALBME_01695	hypothetical protein		
g013228	GCF_000167875:NZ_AAJW02000028.1:37669-36704	GCF_000167875:DFDALBME_01697	Protein EaeB		
g013229	GCF_000167875:NZ_AAJW02000028.1:38829-37690	GCF_000167875:DFDALBME_01698	hypothetical protein		
g013230	GCF_000167875:NZ_AAJW02000028.1:39414-38842	GCF_000167875:DFDALBME_01699	hypothetical protein		
g013231	GCF_000167875:NZ_AAJW02000028.1:40517-39462	GCF_000167875:DFDALBME_01700	hypothetical protein		
g013232	GCF_000167875:NZ_AAJW02000028.1:44910-42094	GCF_000167875:DFDALBME_01702	Intimin		
g013233	GCF_000167875:NZ_AAJW02000028.1:47224-45575	GCF_000167875:DFDALBME_01704	Translocated intimin receptor Tir		
g013234	GCF_000167875:NZ_AAJW02000028.1:48029-47544	GCF_000167875:DFDALBME_01705	hypothetical protein		
g013235	GCF_000167875:NZ_AAJW02000028.1:48432-48794	GCF_000167875:DFDALBME_01706	hypothetical protein		
g013236	GCF_000167875:NZ_AAJW02000028.1:49504-48995	GCF_000167875:DFDALBME_01707	hypothetical protein		
g013237	GCF_000167875:NZ_AAJW02000028.1:52544-51204	GCF_000167875:DFDALBME_01710	putative ATP synthase YscN	3.6.3.14	
g013238	GCF_000167875:NZ_AAJW02000028.1:54905-54552	GCF_000167875:DFDALBME_01712	hypothetical protein		
g013239	GCF_000167875:NZ_AAJW02000028.1:55090-55386	GCF_000167875:DFDALBME_01713	hypothetical protein		
g013240	GCF_000167875:NZ_AAJW02000028.1:55416-55844	GCF_000167875:DFDALBME_01714	hypothetical protein		
g013241	GCF_000167875:NZ_AAJW02000028.1:56880-58418	GCF_000167875:DFDALBME_01717	Type III secretion system outer membrane protein SpiA		
g013242	GCF_000167875:NZ_AAJW02000028.1:59684-59271	GCF_000167875:DFDALBME_01719	hypothetical protein		
g013243	GCF_000167875:NZ_AAJW02000028.1:60111-59740	GCF_000167875:DFDALBME_01720	hypothetical protein		
g013244	GCF_000167875:NZ_AAJW02000028.1:61055-60762	GCF_000167875:DFDALBME_01722	Yop proteins translocation protein U		
g013245	GCF_000167875:NZ_AAJW02000028.1:9845-9177	GCF_000167875:DFDALBME_01670	hypothetical protein		
g013246	GCF_000167875:NZ_AAJW02000029.1:1183-839	GCF_000167875:DFDALBME_01591	hypothetical protein		
g013247	GCF_000167875:NZ_AAJW02000029.1:14786-14103	GCF_000167875:DFDALBME_01603	hypothetical protein		
g013248	GCF_000167875:NZ_AAJW02000029.1:15120-14872	GCF_000167875:DFDALBME_01604	hypothetical protein		
g013249	GCF_000167875:NZ_AAJW02000029.1:16013-15762	GCF_000167875:DFDALBME_01606	Antitoxin YafN		
g013250	GCF_000167875:NZ_AAJW02000029.1:16402-16187	GCF_000167875:DFDALBME_01607	hypothetical protein		
g013251	GCF_000167875:NZ_AAJW02000029.1:16773-17978	GCF_000167875:DFDALBME_01608	Plasmid partition protein A		
g013252	GCF_000167875:NZ_AAJW02000029.1:17975-18937	GCF_000167875:DFDALBME_01609	Virulence regulon transcriptional activator VirB		
g013253	GCF_000167875:NZ_AAJW02000029.1:20095-19565	GCF_000167875:DFDALBME_01610	Protein UmuC		
g013254	GCF_000167875:NZ_AAJW02000029.1:20201-20473	GCF_000167875:DFDALBME_01611	hypothetical protein		
g013255	GCF_000167875:NZ_AAJW02000029.1:2062-1772	GCF_000167875:DFDALBME_01593	hypothetical protein		
g013256	GCF_000167875:NZ_AAJW02000029.1:20939-21340	GCF_000167875:DFDALBME_01613	hypothetical protein		
g013257	GCF_000167875:NZ_AAJW02000029.1:24338-24679	GCF_000167875:DFDALBME_01617	hypothetical protein		
g013258	GCF_000167875:NZ_AAJW02000029.1:26023-26685	GCF_000167875:DFDALBME_01620	Chromosome-partitioning protein Spo0J		
g013259	GCF_000167875:NZ_AAJW02000029.1:26701-27981	GCF_000167875:DFDALBME_01621	hypothetical protein		
g013260	GCF_000167875:NZ_AAJW02000029.1:2763-3503	GCF_000167875:DFDALBME_01594	hypothetical protein		
g013261	GCF_000167875:NZ_AAJW02000029.1:29183-29533	GCF_000167875:DFDALBME_01624	hypothetical protein		
g013262	GCF_000167875:NZ_AAJW02000029.1:39048-39494	GCF_000167875:DFDALBME_01633	Protein kinase OspG	2.7.-.-	
g013263	GCF_000167875:NZ_AAJW02000029.1:39517-39696	GCF_000167875:DFDALBME_01634	hypothetical protein		
g013264	GCF_000167875:NZ_AAJW02000029.1:39945-40409	GCF_000167875:DFDALBME_01635	hypothetical protein		
g013265	GCF_000167875:NZ_AAJW02000029.1:40821-40327	GCF_000167875:DFDALBME_01636	hypothetical protein		
g013266	GCF_000167875:NZ_AAJW02000029.1:41818-42588	GCF_000167875:DFDALBME_01639	hypothetical protein		
g013267	GCF_000167875:NZ_AAJW02000029.1:42681-43889	GCF_000167875:DFDALBME_01640	hypothetical protein		
g013268	GCF_000167875:NZ_AAJW02000029.1:44336-44782	GCF_000167875:DFDALBME_01641	Serine acetyltransferase	2.3.1.30	
g013269	GCF_000167875:NZ_AAJW02000029.1:45243-44911	GCF_000167875:DFDALBME_01642	hypothetical protein		
g013270	GCF_000167875:NZ_AAJW02000029.1:46825-47082	GCF_000167875:DFDALBME_01645	hypothetical protein		
g013271	GCF_000167875:NZ_AAJW02000029.1:49243-49476	GCF_000167875:DFDALBME_01647	hypothetical protein		
g013272	GCF_000167875:NZ_AAJW02000029.1:49518-49673	GCF_000167875:DFDALBME_01648	hypothetical protein		
g013273	GCF_000167875:NZ_AAJW02000029.1:49633-49887	GCF_000167875:DFDALBME_01649	hypothetical protein		
g013274	GCF_000167875:NZ_AAJW02000029.1:49845-50750	GCF_000167875:DFDALBME_01650	hypothetical protein		
g013275	GCF_000167875:NZ_AAJW02000029.1:52863-52982	GCF_000167875:DFDALBME_01653	hypothetical protein		
g013276	GCF_000167875:NZ_AAJW02000029.1:53056-54528	GCF_000167875:DFDALBME_01654	hypothetical protein		
g013277	GCF_000167875:NZ_AAJW02000029.1:5384-8458	GCF_000167875:DFDALBME_01597	Hemolysin, plasmid		
g013278	GCF_000167875:NZ_AAJW02000029.1:55850-56035	GCF_000167875:DFDALBME_01656	hypothetical protein		
g013279	GCF_000167875:NZ_AAJW02000029.1:56835-57701	GCF_000167875:DFDALBME_01657	hypothetical protein		
g013280	GCF_000167875:NZ_AAJW02000029.1:57749-58330	GCF_000167875:DFDALBME_01658	hypothetical protein		
g013281	GCF_000167875:NZ_AAJW02000029.1:75-593	GCF_000167875:DFDALBME_01589	hypothetical protein		
g013282	GCF_000167875:NZ_AAJW02000029.1:808-596	GCF_000167875:DFDALBME_01590	hypothetical protein		
g013283	GCF_000167875:NZ_AAJW02000030.1:13638-11701	GCF_000167875:DFDALBME_01520	hypothetical protein		
g013284	GCF_000167875:NZ_AAJW02000030.1:16621-16821	GCF_000167875:DFDALBME_01524	hypothetical protein		
g013285	GCF_000167875:NZ_AAJW02000030.1:18330-17845	GCF_000167875:DFDALBME_01527	hypothetical protein		
g013286	GCF_000167875:NZ_AAJW02000030.1:25528-24857	GCF_000167875:DFDALBME_01538	Serine/threonine-protein phosphatase 1	3.1.3.16	
g013287	GCF_000167875:NZ_AAJW02000030.1:27604-26927	GCF_000167875:DFDALBME_01541	hypothetical protein		
g013288	GCF_000167875:NZ_AAJW02000030.1:31289-30915	GCF_000167875:DFDALBME_01549	hypothetical protein		
g013289	GCF_000167875:NZ_AAJW02000030.1:31786-31229	GCF_000167875:DFDALBME_01550	hypothetical protein		
g013290	GCF_000167875:NZ_AAJW02000030.1:32451-32233	GCF_000167875:DFDALBME_01552	hypothetical protein		
g013291	GCF_000167875:NZ_AAJW02000030.1:32758-32840	GCF_000167875:DFDALBME_01553	tRNA-Ala(cgc)		
g013292	GCF_000167875:NZ_AAJW02000030.1:33330-33611	GCF_000167875:DFDALBME_01554	hypothetical protein		
g013293	GCF_000167875:NZ_AAJW02000030.1:33618-34169	GCF_000167875:DFDALBME_01555	hypothetical protein		
g013294	GCF_000167875:NZ_AAJW02000030.1:36253-36393	GCF_000167875:DFDALBME_01559	hypothetical protein		
g013295	GCF_000167875:NZ_AAJW02000030.1:36386-36529	GCF_000167875:DFDALBME_01560	hypothetical protein		
g013296	GCF_000167875:NZ_AAJW02000030.1:36604-36858	GCF_000167875:DFDALBME_01561	hypothetical protein		
g013297	GCF_000167875:NZ_AAJW02000030.1:40093-40284	GCF_000167875:DFDALBME_01569	hypothetical protein		
g013298	GCF_000167875:NZ_AAJW02000030.1:40923-41324	GCF_000167875:DFDALBME_01571	hypothetical protein		
g013299	GCF_000167875:NZ_AAJW02000030.1:44284-44922	GCF_000167875:DFDALBME_01576	HTH-type transcriptional regulator MlrA		
g013300	GCF_000167875:NZ_AAJW02000030.1:7371-6655	GCF_000167875:DFDALBME_01513	hypothetical protein		
g013301	GCF_000167875:NZ_AAJW02000031.1:52129-51740	GCF_000167875:DFDALBME_01500	Glycine cleavage system H protein		
g013302	GCF_000167875:NZ_AAJW02000033.1:24174-24473	GCF_000167875:DFDALBME_01377	hypothetical protein		
g013303	GCF_000167875:NZ_AAJW02000033.1:24443-25234	GCF_000167875:DFDALBME_01378	hypothetical protein		
g013304	GCF_000167875:NZ_AAJW02000033.1:30599-31990	GCF_000167875:DFDALBME_01385	Dipeptide permease D		
g013305	GCF_000167875:NZ_AAJW02000033.1:3176-2721	GCF_000167875:DFDALBME_01360	Mannosylglycerate hydrolase	3.2.1.170	
g013306	GCF_000167875:NZ_AAJW02000033.1:35516-34473	GCF_000167875:DFDALBME_01388	hypothetical protein		
g013307	GCF_000167875:NZ_AAJW02000034.1:13372-12986	GCF_000167875:DFDALBME_01313	General stress protein 16U		
g013308	GCF_000167875:NZ_AAJW02000034.1:17763-16606	GCF_000167875:DFDALBME_01318	General stress protein 16U		
g013309	GCF_000167875:NZ_AAJW02000034.1:28858-27245	GCF_000167875:DFDALBME_01329	hypothetical protein		
g013310	GCF_000167875:NZ_AAJW02000034.1:34859-35200	GCF_000167875:DFDALBME_01337	hypothetical protein		
g013311	GCF_000167875:NZ_AAJW02000034.1:35417-35154	GCF_000167875:DFDALBME_01338	hypothetical protein		
g013312	GCF_000167875:NZ_AAJW02000034.1:37224-36760	GCF_000167875:DFDALBME_01341	Urease accessory protein UreE		
g013313	GCF_000167875:NZ_AAJW02000034.1:40350-39571	GCF_000167875:DFDALBME_01345	Urease accessory protein UreD		
g013314	GCF_000167875:NZ_AAJW02000034.1:43302-42943	GCF_000167875:DFDALBME_01348	Diacylglycerol kinase	2.7.1.107	
g013315	GCF_000167875:NZ_AAJW02000034.1:43988-44278	GCF_000167875:DFDALBME_01349	hypothetical protein		
g013316	GCF_000167875:NZ_AAJW02000034.1:45083-44601	GCF_000167875:DFDALBME_01351	Lipoprotein YlpA		
g013317	GCF_000167875:NZ_AAJW02000034.1:46874-46428	GCF_000167875:DFDALBME_01354	hypothetical protein		
g013318	GCF_000167875:NZ_AAJW02000034.1:53671-53183	GCF_000167875:DFDALBME_01357	Prophage integrase IntA		
g013319	GCF_000167875:NZ_AAJW02000034.1:54384-53671	GCF_000167875:DFDALBME_01358	Prophage integrase IntA		
g013320	GCF_000167875:NZ_AAJW02000035.1:18807-17059	GCF_000167875:DFDALBME_01274	Lipid A export ATP-binding/permease protein MsbA	3.6.3.-	
g013321	GCF_000167875:NZ_AAJW02000035.1:39556-38408	GCF_000167875:DFDALBME_01290	putative MFS-type transporter YcaD		
g013322	GCF_000167875:NZ_AAJW02000035.1:52842-52414	GCF_000167875:DFDALBME_01299	Leucine-responsive regulatory protein		
g013323	GCF_000167875:NZ_AAJW02000035.1:91-909	GCF_000167875:DFDALBME_01260	Aspartate aminotransferase	2.6.1.1	
g013324	GCF_000167875:NZ_AAJW02000036.1:1239-565	GCF_000167875:DFDALBME_01220	Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase PksC	2.3.1.39	
g013325	GCF_000167875:NZ_AAJW02000036.1:46348-47094	GCF_000167875:DFDALBME_01259	hypothetical protein		
g013326	GCF_000167875:NZ_AAJW02000037.1:31288-32229	GCF_000167875:DFDALBME_01208	Ribosomal RNA small subunit methyltransferase H	2.1.1.199	
g013327	GCF_000167875:NZ_AAJW02000038.1:15429-14965	GCF_000167875:DFDALBME_01154	Ascorbate-specific PTS system EIIA component		
g013328	GCF_000167875:NZ_AAJW02000038.1:8142-9443	GCF_000167875:DFDALBME_01144	C4-dicarboxylate TRAP transporter large permease protein DctM		
g013329	GCF_000167875:NZ_AAJW02000039.1:10679-11278	GCF_000167875:DFDALBME_01102	hypothetical protein		
g013330	GCF_000167875:NZ_AAJW02000039.1:11271-11558	GCF_000167875:DFDALBME_01103	hypothetical protein		
g013331	GCF_000167875:NZ_AAJW02000039.1:12-839	GCF_000167875:DFDALBME_01089	hypothetical protein		
g013332	GCF_000167875:NZ_AAJW02000039.1:12477-14828	GCF_000167875:DFDALBME_01106	DNA primase TraC	2.7.7.-	
g013333	GCF_000167875:NZ_AAJW02000039.1:15671-15291	GCF_000167875:DFDALBME_01107	FhuE receptor		
g013334	GCF_000167875:NZ_AAJW02000039.1:32722-33066	GCF_000167875:DFDALBME_01124	N-acetyl-D-glucosamine kinase	2.7.1.59	
g013335	GCF_000167875:NZ_AAJW02000039.1:33097-33633	GCF_000167875:DFDALBME_01125	N-acetyl-D-glucosamine kinase	2.7.1.59	
g013336	GCF_000167875:NZ_AAJW02000039.1:38240-38707	GCF_000167875:DFDALBME_01132	hypothetical protein		
g013337	GCF_000167875:NZ_AAJW02000039.1:4231-3851	GCF_000167875:DFDALBME_01093	hypothetical protein		
g013338	GCF_000167875:NZ_AAJW02000039.1:42370-40202	GCF_000167875:DFDALBME_01135	Exodeoxyribonuclease 8	3.1.11.-	
g013339	GCF_000167875:NZ_AAJW02000039.1:4385-5470	GCF_000167875:DFDALBME_01094	Prophage integrase IntS		
g013340	GCF_000167875:NZ_AAJW02000039.1:5480-5671	GCF_000167875:DFDALBME_01095	hypothetical protein		
g013341	GCF_000167875:NZ_AAJW02000039.1:5661-6335	GCF_000167875:DFDALBME_01096	hypothetical protein		
g013342	GCF_000167875:NZ_AAJW02000039.1:6337-7767	GCF_000167875:DFDALBME_01097	hypothetical protein		
g013343	GCF_000167875:NZ_AAJW02000039.1:883-1560	GCF_000167875:DFDALBME_01090	hypothetical protein		
g013344	GCF_000167875:NZ_AAJW02000040.1:2913-1552	GCF_000167875:DFDALBME_01068	AMP nucleosidase	3.2.2.4	
g013345	GCF_000167875:NZ_AAJW02000040.1:32039-25932	GCF_000167875:DFDALBME_01081	Anguibactin system regulator		
g013346	GCF_000167875:NZ_AAJW02000040.1:33446-35158	GCF_000167875:DFDALBME_01083	Iron import ATP-binding/permease protein IrtA	3.6.3.-	
g013347	GCF_000167875:NZ_AAJW02000040.1:4319-4098	GCF_000167875:DFDALBME_01071	AMP nucleosidase	3.2.2.4	
g013348	GCF_000167875:NZ_AAJW02000040.1:9189-7360	GCF_000167875:DFDALBME_01074	Invasin		
g013349	GCF_000167875:NZ_AAJW02000041.1:10832-9504	GCF_000167875:DFDALBME_01042	Glutathione-regulated potassium-efflux system protein KefC		
g013350	GCF_000167875:NZ_AAJW02000041.1:24339-24557	GCF_000167875:DFDALBME_01056	hypothetical protein		
g013351	GCF_000167875:NZ_AAJW02000041.1:6899-7498	GCF_000167875:DFDALBME_01038	hypothetical protein		
g013352	GCF_000167875:NZ_AAJW02000041.1:7534-8001	GCF_000167875:DFDALBME_01039	hypothetical protein		
g013353	GCF_000167875:NZ_AAJW02000041.1:9507-8971	GCF_000167875:DFDALBME_01041	Glutathione-regulated potassium-efflux system protein KefC		
g013354	GCF_000167875:NZ_AAJW02000042.1:21909-22358	GCF_000167875:DFDALBME_01019	putative protein YgaU		
g013355	GCF_000167875:NZ_AAJW02000042.1:32370-30118	GCF_000167875:DFDALBME_01026	hypothetical protein		
g013356	GCF_000167875:NZ_AAJW02000042.1:33757-34092	GCF_000167875:DFDALBME_01028	hypothetical protein		
g013357	GCF_000167875:NZ_AAJW02000042.1:34335-35126	GCF_000167875:DFDALBME_01029	hypothetical protein		
