#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_001547045.1	PRJNA224116	SAMN04270956	LNMK00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1403299		latest	Contig	Major	Full	2016/02/02	ASM154704v1	Uppsala University	GCA_001547045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/045/GCF_001547045.1_ASM154704v1		
GCF_001547075.1	PRJNA224116	SAMN04270936	LNLQ00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1400413		latest	Contig	Major	Full	2016/02/02	ASM154707v1	Uppsala University	GCA_001547075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/075/GCF_001547075.1_ASM154707v1		
GCF_001547095.1	PRJNA224116	SAMN04270940	LNLU00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1401379		latest	Contig	Major	Full	2016/02/02	ASM154709v1	Uppsala University	GCA_001547095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/095/GCF_001547095.1_ASM154709v1		
GCF_001547105.1	PRJNA224116	SAMN04270949	LNMD00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1402259		latest	Contig	Major	Full	2016/02/02	ASM154710v1	Uppsala University	GCA_001547105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/105/GCF_001547105.1_ASM154710v1		
GCF_001547115.1	PRJNA224116	SAMN04270950	LNME00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1402435		latest	Contig	Major	Full	2016/02/02	ASM154711v1	Uppsala University	GCA_001547115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/115/GCF_001547115.1_ASM154711v1		
GCF_001547155.1	PRJNA224116	SAMN04270951	LNMF00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1402513		latest	Contig	Major	Full	2016/02/02	ASM154715v1	Uppsala University	GCA_001547155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/155/GCF_001547155.1_ASM154715v1		
GCF_001547175.1	PRJNA224116	SAMN04270952	LNMG00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1402563		latest	Contig	Major	Full	2016/02/02	ASM154717v1	Uppsala University	GCA_001547175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/175/GCF_001547175.1_ASM154717v1		
GCF_001547185.1	PRJNA224116	SAMN04270953	LNMH00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1402601		latest	Contig	Major	Full	2016/02/02	ASM154718v1	Uppsala University	GCA_001547185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/185/GCF_001547185.1_ASM154718v1		
GCF_001547195.1	PRJNA224116	SAMN04270942	LNLW00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1401878		latest	Contig	Major	Full	2016/02/02	ASM154719v1	Uppsala University	GCA_001547195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/195/GCF_001547195.1_ASM154719v1		
GCF_001547235.1	PRJNA224116	SAMN04270957	LNML00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1403355		latest	Contig	Major	Full	2016/02/02	ASM154723v1	Uppsala University	GCA_001547235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/235/GCF_001547235.1_ASM154723v1		
GCF_001547255.1	PRJNA224116	SAMN04270961	LNMP00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1404669		latest	Contig	Major	Full	2016/02/02	ASM154725v1	Uppsala University	GCA_001547255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/255/GCF_001547255.1_ASM154725v1		
GCF_001547265.1	PRJNA224116	SAMN04270962	LNMQ00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1406033		latest	Contig	Major	Full	2016/02/02	ASM154726v1	Uppsala University	GCA_001547265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/265/GCF_001547265.1_ASM154726v1		
GCF_001547285.1	PRJNA224116	SAMN04270964	LNMS00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1407687		latest	Contig	Major	Full	2016/02/02	ASM154728v1	Uppsala University	GCA_001547285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/285/GCF_001547285.1_ASM154728v1		
GCF_001547315.1	PRJNA224116	SAMN04270963	LNMR00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1406092		latest	Contig	Major	Full	2016/02/02	ASM154731v1	Uppsala University	GCA_001547315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/315/GCF_001547315.1_ASM154731v1		
GCF_001547335.1	PRJNA224116	SAMN04270923	LNLD00000000.1	na	1352	1352	Enterococcus faecium	strain=S-1402282		latest	Contig	Major	Full	2016/02/02	ASM154733v1	Uppsala University	GCA_001547335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/335/GCF_001547335.1_ASM154733v1		
GCF_001547355.1	PRJNA224116	SAMN04270924	LNLE00000000.1	na	1352	1352	Enterococcus faecium	strain=U-1313438		latest	Contig	Major	Full	2016/02/02	ASM154735v1	Uppsala University	GCA_001547355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/355/GCF_001547355.1_ASM154735v1		
GCF_001547365.1	PRJNA224116	SAMN04270967	LNMV00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1408197		latest	Contig	Major	Full	2016/02/02	ASM154736v1	Uppsala University	GCA_001547365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/365/GCF_001547365.1_ASM154736v1		
GCF_001547395.1	PRJNA224116	SAMN04270959	LNMN00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1404029		latest	Contig	Major	Full	2016/02/02	ASM154739v1	Uppsala University	GCA_001547395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/395/GCF_001547395.1_ASM154739v1		
GCF_001547415.1	PRJNA224116	SAMN04270965	LNMT00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1407988		latest	Contig	Major	Full	2016/02/02	ASM154741v1	Uppsala University	GCA_001547415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/415/GCF_001547415.1_ASM154741v1		
GCF_001547425.1	PRJNA224116	SAMN04270958	LNMM00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1403540		latest	Contig	Major	Full	2016/02/02	ASM154742v1	Uppsala University	GCA_001547425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/425/GCF_001547425.1_ASM154742v1		
GCF_001547445.1	PRJNA224116	SAMN04270960	LNMO00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1404192		latest	Contig	Major	Full	2016/02/02	ASM154744v1	Uppsala University	GCA_001547445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/445/GCF_001547445.1_ASM154744v1		
GCF_001547475.1	PRJNA224116	SAMN04270966	LNMU00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1408033		latest	Contig	Major	Full	2016/02/02	ASM154747v1	Uppsala University	GCA_001547475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/475/GCF_001547475.1_ASM154747v1		
GCF_001547495.1	PRJNA224116	SAMN04270968	LNMW00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1408429		latest	Contig	Major	Full	2016/02/02	ASM154749v1	Uppsala University	GCA_001547495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/495/GCF_001547495.1_ASM154749v1		
GCF_001547505.1	PRJNA224116	SAMN04270969	LNMX00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1408535		latest	Contig	Major	Full	2016/02/02	ASM154750v1	Uppsala University	GCA_001547505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/505/GCF_001547505.1_ASM154750v1		
GCF_001547555.1	PRJNA224116	SAMN04270922	LNLC00000000.1	na	1352	1352	Enterococcus faecium	strain=S-1001508		latest	Contig	Major	Full	2016/02/02	ASM154755v1	Uppsala University	GCA_001547555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/555/GCF_001547555.1_ASM154755v1		
GCF_001562895.1	PRJNA224116	SAMN04270973	LNOW00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1502939		latest	Contig	Major	Full	2016/02/17	ASM156289v1	Uppsala University	GCA_001562895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/895/GCF_001562895.1_ASM156289v1		
GCF_001562905.1	PRJNA224116	SAMN04270975	LNOY00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1503268		latest	Contig	Major	Full	2016/02/17	ASM156290v1	Uppsala University	GCA_001562905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/905/GCF_001562905.1_ASM156290v1		
GCF_001562915.1	PRJNA224116	SAMN04270971	LNOU00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1502856		latest	Contig	Major	Full	2016/02/17	ASM156291v1	Uppsala University	GCA_001562915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/915/GCF_001562915.1_ASM156291v1		
GCF_001562925.1	PRJNA224116	SAMN04270974	LNOX00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1503262		latest	Contig	Major	Full	2016/02/17	ASM156292v1	Uppsala University	GCA_001562925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/925/GCF_001562925.1_ASM156292v1		
GCF_001562975.1	PRJNA224116	SAMN04270970	LNOT00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1502382		latest	Contig	Major	Full	2016/02/17	ASM156297v1	Uppsala University	GCA_001562975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/975/GCF_001562975.1_ASM156297v1		
GCF_001562995.1	PRJNA224116	SAMN04270976	LNOZ00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1503642		latest	Contig	Major	Full	2016/02/17	ASM156299v1	Uppsala University	GCA_001562995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/995/GCF_001562995.1_ASM156299v1		
GCF_001563005.1	PRJNA224116	SAMN04270978	LNPB00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1504220		latest	Contig	Major	Full	2016/02/17	ASM156300v1	Uppsala University	GCA_001563005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/563/005/GCF_001563005.1_ASM156300v1		
GCF_001563065.1	PRJNA224116	SAMN04270972	LNOV00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE-1502913		latest	Contig	Major	Full	2016/02/17	ASM156306v1	Uppsala University	GCA_001563065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/563/065/GCF_001563065.1_ASM156306v1		
GCF_001563205.1	PRJNA224116	SAMN04397503	LQRS00000000.1	na	1352	1352	Enterococcus faecium	strain=805447/07		latest	Contig	Major	Full	2016/02/17	ASM156320v1	Austrian Agency for Health and Food Safety	GCA_001563205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/563/205/GCF_001563205.1_ASM156320v1		
GCF_001576665.1	PRJNA224116	SAMN04325105	LOHT00000000.1	na	1352	1352	Enterococcus faecium	strain=LMG 8148		latest	Contig	Major	Full	2016/02/26	ASM157666v1	University of Leuven - KU Leuven	GCA_001576665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/576/665/GCF_001576665.1_ASM157666v1		
GCF_001582095.1	PRJNA224116	SAMN04338419	LOQQ00000000.1	na	1352	1352	Enterococcus faecium	strain=D344RRF		latest	Scaffold	Major	Full	2016/03/08	ASM158209v1	Brown University/Rhode Island Hospital	GCA_001582095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/582/095/GCF_001582095.1_ASM158209v1		
GCF_001582105.1	PRJNA224116	SAMN04338411	LPUE00000000.1	na	565664	1352	Enterococcus faecium C68	strain=C68		latest	Scaffold	Major	Full	2016/03/08	ASM158210v1	Brown University/Rhode Island Hospital	GCA_001582105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/582/105/GCF_001582105.1_ASM158210v1		
GCF_001587115.1	PRJNA224116	SAMN03339922		na	1352	1352	Enterococcus faecium	strain=UW8175		latest	Complete Genome	Major	Full	2016/03/11	ASM158711v1	Robert Koch-Institute	GCA_001587115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/587/115/GCF_001587115.1_ASM158711v1		
GCF_001592725.1	PRJNA224116	SAMN04452878	LSYW00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE16		latest	Scaffold	Major	Full	2016/03/15	ASM159272v1	University of Sao Paulo	GCA_001592725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/592/725/GCF_001592725.1_ASM159272v1		
GCF_001622975.1	PRJNA224116	SAMN03120290	JTKR00000000.1	na	1352	1352	Enterococcus faecium	strain=CICYT-205		latest	Scaffold	Major	Full	2016/04/18	ASM162297v1	National Food Institute, Technical University of Copenhagen (Denmark)	GCA_001622975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/622/975/GCF_001622975.1_ASM162297v1		
GCF_001635875.1	PRJNA224116	SAMN03486724		na	1352	1352	Enterococcus faecium	strain=E39		latest	Complete Genome	Major	Full	2016/05/02	ASM163587v1	New York Medical College	GCA_001635875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/635/875/GCF_001635875.1_ASM163587v1		
GCF_001652715.1	PRJNA224116	SAMN04784847	LWHF00000000.1	na	1352	1352	Enterococcus faecium	strain=17OM39		latest	Contig	Major	Full	2016/05/26	ASM165271v1	National Centre for Cell Science	GCA_001652715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/652/715/GCF_001652715.1_ASM165271v1		
GCF_001676845.1	PRJNA224116	SAMN05003824	LXWZ00000000.1	na	1352	1352	Enterococcus faecium	strain=XH877		latest	Scaffold	Major	Full	2016/06/27	ASM167684v1	Zhejiang University	GCA_001676845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/845/GCF_001676845.1_ASM167684v1		
GCF_001696275.1	PRJNA224116	SAMN02739346	JMIN00000000.1	na	1352	1352	Enterococcus faecium	strain=UCN73		latest	Scaffold	Major	Full	2016/07/28	UCN73.1	Harvard Medical School, Massachusetts Eye and Ear Infirmary	GCA_001696275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/696/275/GCF_001696275.1_UCN73.1		
GCF_001696285.1	PRJNA224116	SAMN02739347	JMII00000000.1	na	1352	1352	Enterococcus faecium	strain=BM4107		latest	Scaffold	Major	Full	2016/07/28	BM4107.1	Harvard Medical School, Massachusetts Eye and Ear Infirmary	GCA_001696285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/696/285/GCF_001696285.1_BM4107.1		
GCF_001696305.1	PRJNA224116	SAMN02739345	JMMX00000000.1	na	1352	1352	Enterococcus faecium	strain=UCN72		latest	Scaffold	Major	Full	2016/07/28	UCN72.1	Harvard Medical School, Massachusetts Eye and Ear Infirmary	GCA_001696305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/696/305/GCF_001696305.1_UCN72.1		
GCF_001720945.1	PRJNA224116	SAMN03988632		na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_1		latest	Complete Genome	Major	Full	2016/09/07	ASM172094v1	Mount Sinai School of Medicine	GCA_001720945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/720/945/GCF_001720945.1_ASM172094v1		
GCF_001720965.1	PRJNA224116	SAMN03988550		na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_2		latest	Chromosome	Major	Full	2016/09/07	ASM172096v1	Mount Sinai School of Medicine	GCA_001720965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/720/965/GCF_001720965.1_ASM172096v1		
GCF_001720985.1	PRJNA224116	SAMN03988555		na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_3		latest	Chromosome	Major	Full	2016/09/07	ASM172098v1	Mount Sinai School of Medicine	GCA_001720985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/720/985/GCF_001720985.1_ASM172098v1		
GCF_001721005.1	PRJNA224116	SAMN03988559		na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_4		latest	Chromosome	Major	Full	2016/09/07	ASM172100v1	Mount Sinai School of Medicine	GCA_001721005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/005/GCF_001721005.1_ASM172100v1		
GCF_001721025.1	PRJNA224116	SAMN03988560		na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_5		latest	Chromosome	Major	Full	2016/09/07	ASM172102v1	Mount Sinai School of Medicine	GCA_001721025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/025/GCF_001721025.1_ASM172102v1		
GCF_001721065.1	PRJNA224116	SAMN03988624		na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_7		latest	Complete Genome	Major	Full	2016/09/07	ASM172106v1	Mount Sinai School of Medicine	GCA_001721065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/065/GCF_001721065.1_ASM172106v1		
GCF_001721085.1	PRJNA224116	SAMN03988626		na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_8		latest	Chromosome	Major	Full	2016/09/07	ASM172108v1	Mount Sinai School of Medicine	GCA_001721085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/085/GCF_001721085.1_ASM172108v1		
GCF_001721105.1	PRJNA224116	SAMN03988629		na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_10		latest	Chromosome	Major	Full	2016/09/07	ASM172110v1	Mount Sinai School of Medicine	GCA_001721105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/105/GCF_001721105.1_ASM172110v1		
GCF_001721905.1	PRJNA224116	SAMN03988630		na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_11		latest	Complete Genome	Major	Full	2016/09/08	ASM172190v1	Mount Sinai School of Medicine	GCA_001721905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/905/GCF_001721905.1_ASM172190v1		
GCF_001750885.1	PRJNA224116	SAMN04045274		na	1352	1352	Enterococcus faecium	strain=E745		latest	Complete Genome	Major	Full	2016/10/03	ASM175088v1	UMC Utrecht	GCA_001750885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/750/885/GCF_001750885.1_ASM175088v1		
GCF_001858355.1	PRJNA224116	SAMN05006656	MBRH00000000.1	na	1352	1352	Enterococcus faecium	strain=HPH2		latest	Contig	Major	Full	2016/11/01	ASM185835v1	UCIBIO/REQUIMTE. Faculdade de Farmacia. Universidade do Porto.	GCA_001858355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/858/355/GCF_001858355.1_ASM185835v1		
GCF_001858385.1	PRJNA224116	SAMN05006670	MBRI00000000.1	na	1352	1352	Enterococcus faecium	strain=TCGEHPH2.1		latest	Contig	Major	Full	2016/11/01	ASM185838v1	UCIBIO/REQUIMTE. Faculdade de Farmacia. Universidade do Porto.	GCA_001858385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/858/385/GCF_001858385.1_ASM185838v1		
GCF_001858405.1	PRJNA224116	SAMN05006671	MBRG00000000.1	na	1352	1352	Enterococcus faecium	strain=GE1		latest	Contig	Major	Full	2016/11/01	ASM185840v1	UCIBIO/REQUIMTE. Faculdade de Farmacia. Universidade do Porto.	GCA_001858405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/858/405/GCF_001858405.1_ASM185840v1		
GCF_001886635.1	PRJNA224116	SAMN06019998		na	1352	1352	Enterococcus faecium	strain=E1		latest	Complete Genome	Major	Full	2016/11/28	ASM188663v1	EvoTAR	GCA_001886635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/635/GCF_001886635.1_ASM188663v1		
GCF_001895905.1	PRJNA224116	SAMN06018903		na	1352	1352	Enterococcus faecium	strain=VRE001		latest	Complete Genome	Major	Full	2016/12/09	ASM189590v1	St Jude Children's Research Hospital	GCA_001895905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/895/905/GCF_001895905.1_ASM189590v1		
GCF_001896235.1	PRJNA224116	SAMN06065846	MQRF00000000.1	na	1352	1352	Enterococcus faecium	strain=4686		latest	Contig	Major	Full	2016/12/09	ASM189623v1	Institute of Experimental Medicine	GCA_001896235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/896/235/GCF_001896235.1_ASM189623v1		
GCF_001953235.1	PRJNA224116	SAMN03988631		na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_12		latest	Complete Genome	Major	Full	2017/01/17	ASM195323v1	Mount Sinai School of Medicine	GCA_001953235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/235/GCF_001953235.1_ASM195323v1		
GCF_001953255.1	PRJNA224116	SAMN03988627		na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_9		latest	Complete Genome	Major	Full	2017/01/17	ASM195325v1	Mount Sinai School of Medicine	GCA_001953255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/255/GCF_001953255.1_ASM195325v1		
GCF_001953395.1	PRJNA224116	SAMN06019999	MPZY00000000.1	na	1352	1352	Enterococcus faecium	strain=E2		latest	Contig	Major	Full	2017/01/17	ASM195339v1	EvoTAR	GCA_001953395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/395/GCF_001953395.1_ASM195339v1		
GCF_001953435.1	PRJNA224116	SAMN06020000	MPZZ00000000.1	na	1352	1352	Enterococcus faecium	strain=E3		latest	Contig	Major	Full	2017/01/17	ASM195343v1	EvoTAR	GCA_001953435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/435/GCF_001953435.1_ASM195343v1		
GCF_001953445.1	PRJNA224116	SAMN06020001	MQAA00000000.1	na	1352	1352	Enterococcus faecium	strain=E4		latest	Contig	Major	Full	2017/01/17	ASM195344v1	EvoTAR	GCA_001953445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/445/GCF_001953445.1_ASM195344v1		
GCF_001953455.1	PRJNA224116	SAMN06020035	MQAC00000000.1	na	1352	1352	Enterococcus faecium	strain=E6		latest	Contig	Major	Full	2017/01/17	ASM195345v1	EvoTAR	GCA_001953455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/455/GCF_001953455.1_ASM195345v1		
GCF_001953465.1	PRJNA224116	SAMN06020034	MQAB00000000.1	na	1352	1352	Enterococcus faecium	strain=E5		latest	Contig	Major	Full	2017/01/17	ASM195346v1	EvoTAR	GCA_001953465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/465/GCF_001953465.1_ASM195346v1		
GCF_001953715.1	PRJNA224116	SAMN03988561	LIVR00000000.1	na	1352	1352	Enterococcus faecium	strain=ISMMS_VRE_6		latest	Contig	Major	Full	2017/01/18	ASM195371v1	Mount Sinai School of Medicine	GCA_001953715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/715/GCF_001953715.1_ASM195371v1		
GCF_001969545.1	PRJNA224116	SAMN04500822	LTDQ00000000.1	na	1352	1352	Enterococcus faecium	strain=VREr6		latest	Contig	Major	Full	2017/01/23	ASM196954v1	University of Malaya	GCA_001969545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/969/545/GCF_001969545.1_ASM196954v1		
GCF_001969615.1	PRJNA224116	SAMN04500812	LTAA00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE2		latest	Contig	Major	Full	2017/01/23	ASM196961v1	University of Malaya	GCA_001969615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/969/615/GCF_001969615.1_ASM196961v1		
GCF_001969625.1	PRJNA224116	SAMN04500821	LTBJ00000000.1	na	1352	1352	Enterococcus faecium	strain=VREr5		latest	Contig	Major	Full	2017/01/23	ASM196962v1	University of Malaya	GCA_001969625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/969/625/GCF_001969625.1_ASM196962v1		
GCF_001969645.1	PRJNA224116	SAMN04500826	LSZZ00000000.1	na	1352	1352	Enterococcus faecium	strain=VREr7		latest	Contig	Major	Full	2017/01/23	ASM196964v1	University of Malaya	GCA_001969645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/969/645/GCF_001969645.1_ASM196964v1		
GCF_001990565.1	PRJNA224116	SAMN06133058	MRYG00000000.1	na	1352	1352	Enterococcus faecium	strain=97-6_S5		latest	Scaffold	Major	Full	2017/02/08	ASM199056v1	Universidad Andres Bello	GCA_001990565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/990/565/GCF_001990565.1_ASM199056v1		
GCF_001990575.1	PRJNA224116	SAMN06133056	MRYE00000000.1	na	1352	1352	Enterococcus faecium	strain=97-19_S17		latest	Scaffold	Major	Full	2017/02/08	ASM199057v1	Universidad Andres Bello	GCA_001990575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/990/575/GCF_001990575.1_ASM199057v1		
GCF_001990605.1	PRJNA224116	SAMN06133057	MRYF00000000.1	na	1352	1352	Enterococcus faecium	strain=97-3_S3		latest	Scaffold	Major	Full	2017/02/08	ASM199060v1	Universidad Andres Bello	GCA_001990605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/990/605/GCF_001990605.1_ASM199060v1		
GCF_001990615.1	PRJNA224116	SAMN06133059	MRYH00000000.1	na	1352	1352	Enterococcus faecium	strain=97-7_S6		latest	Scaffold	Major	Full	2017/02/08	ASM199061v1	Universidad Andres Bello	GCA_001990615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/990/615/GCF_001990615.1_ASM199061v1		
GCF_001996345.1	PRJNA224116	SAMN06065915	MQST00000000.1	na	1352	1352	Enterococcus faecium	strain=SSM5539		latest	Scaffold	Major	Full	2017/02/13	ASM199634v1	University of Sassari	GCA_001996345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/996/345/GCF_001996345.1_ASM199634v1		
