assembly_accession	Description	Phylogroup	#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP	taxid	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	isComplete	isContamination	isHeterogeneity
GCF_001660585.1	Escherichia coli strain NGF1, complete genome	B2	Escherichia coli	NGF1	19668	SAMN05194365 	PRJNA324008	Proteobacteria	Gammaproteobacteria	5.07482	50.6194	chromosome:NZ_CP016007.1/CP016007.1; plasmid pNGF1_pCROD2_like:NZ_CP016008.1/CP016008.1; plasmid pNGF1_pCol_let_like:NZ_CP016009.1/CP016009.1	-	3	5156	4837	2016-06-09	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/585/GCF_001660585.1_ASM166058v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/585/GCA_001660585.1_ASM166058v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.08	0	5074819	0	3	3	5026105	5026105	1691606	1691606	5026105	5026105	50.6	5.71	87.89	11	4679	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001663075.1	Escherichia coli strain ER1821R, complete genome	A	Escherichia coli	ER1821R	19668	SAMN05210771 	PRJNA324607	Proteobacteria	Gammaproteobacteria	4.59558	50.8	chromosome:NZ_CP016018.1/CP016018.1	-	1	4730	4403	2016-06-15	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/075/GCF_001663075.1_ASM166307v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/075/GCA_001663075.1_ASM166307v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4595577	0	1	1	4595577	4595577	4595577	4595577	4595577	4595577	50.8	0	87.56	11	4278	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001663475.1	Escherichia coli strain Eco889, complete genome	B2	Escherichia coli	Eco889	19668	SAMN03455974 	PRJNA279654	Proteobacteria	Gammaproteobacteria	5.31246	50.717	chromosome:NZ_CP015159.1/CP015159.1; plasmid pECO-93a:NZ_CP015161.1/CP015161.1; plasmid pECO-fce:NZ_CP015160.1/CP015160.1	-	3	5596	5217	2016-06-16	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/475/GCF_001663475.1_ASM166347v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/475/GCA_001663475.1_ASM166347v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.45	0	5312456	0	3	3	5012253	5012253	1770818	1770818	5012253	5012253	50.8	0.67	87.4	11	5006	1	1165	7	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001675145.1	Escherichia coli strain ECONIH2, complete genome	B2	Escherichia coli	ECONIH2	19668	SAMN03455931 	PRJNA279612	Proteobacteria	Gammaproteobacteria	5.33188	50.4894	chromosome:NZ_CP014667.1/CP014667.1; plasmid pECO-bc6:NZ_CP014668.1/CP014668.1; plasmid pKpQIL-571:NZ_CP014669.1/CP014669.1	-	3	5505	5149	2016-06-22	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/675/145/GCF_001675145.1_ASM167514v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/145/GCA_001675145.1_ASM167514v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.37	0	5331884	0	3	3	5116831	5116831	1777294	1777294	5116831	5116831	50.5	1.91	87.61	11	4970	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001677475.1	Escherichia coli strain 06-00048, complete genome	D	Escherichia coli	06-00048	19668	SAMN02808332 	PRJNA241122	Proteobacteria	Gammaproteobacteria	5.7123	50.4203	chromosome:NZ_CP015229.1/CP015229.1; plasmid pCFSAN004178P_02:NZ_CP012498.1/CP012498.1	-	2	5982	5524	2016-07-01	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/677/475/GCF_001677475.1_ASM167747v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/475/GCA_001677475.1_ASM167747v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.1	0	5712300	0	2	2	5498453	5498453	2856150	2856150	5498453	5498453	50.4	3.26	87.89	11	5483	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001677495.1	Escherichia coli strain 09-00049, complete genome	B1	Escherichia coli	09-00049	19668	SAMN02808333 	PRJNA241122	Proteobacteria	Gammaproteobacteria	5.51185	50.5202	chromosome:NZ_CP015228.1/CP015228.1; plasmid pCFSAN004180G:NZ_CP012500.1/CP012500.1	-	2	5865	5465	2016-07-01	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/677/495/GCF_001677495.1_ASM167749v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/495/GCA_001677495.1_ASM167749v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.1	0	5511850	0	2	2	5286558	5286558	2755925	2755925	5286558	5286558	50.5	2.98	87.67	11	5339	3	1202	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001677515.1	Escherichia coli strain 08-00022, complete genome	A	Escherichia coli	08-00022	19668	SAMN02688213 	PRJNA241122	Proteobacteria	Gammaproteobacteria	5.45618	50.6313	chromosome:NZ_CP013662.1/CP013662.1; plasmid pCFSAN004179G:NZ_CP012501.1/CP012501.1	-	2	5777	5301	2016-07-01	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/677/515/GCF_001677515.1_ASM167751v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/515/GCA_001677515.1_ASM167751v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.14	0	5456185	0	2	2	5213998	5213998	2728092	2728092	5213998	5213998	50.6	2.54	87.24	11	5295	3	1201	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001678925.1	Escherichia coli strain H1827/12, complete genome	A	Escherichia coli	H1827/12	19668	SAMN03768474 	PRJNA286318	Proteobacteria	Gammaproteobacteria	4.73149	50.8	chromosome:NZ_CP013031.1/CP013031.1	-	1	4921	4549	2016-07-05	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/925/GCF_001678925.1_ASM167892v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/678/925/GCA_001678925.1_ASM167892v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	100	0.14	0	4731493	0	1	1	4731493	4731493	4731493	4731493	4731493	4731493	50.8	0	87.68	11	4474	0	1170	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001678965.1	Escherichia coli strain GB089, complete genome	B1	Escherichia coli	GB089	19668	SAMN02688215 	PRJNA241122	Proteobacteria	Gammaproteobacteria	5.45741	50.6153	chromosome:NZ_CP013663.1/CP013663.1; plasmid pCFSAN004181P:NZ_CP012499.1/CP012499.1	-	2	5790	5404	2016-07-05	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/965/GCF_001678965.1_ASM167896v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/678/965/GCA_001678965.1_ASM167896v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.15	0	5457411	0	2	2	5233459	5233459	2728705	2728705	5233459	5233459	50.6	3.05	87.83	11	5284	3	1201	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001679985.1	Escherichia coli strain 210205630, complete genome	B1	Escherichia coli	210205630	19668	SAMN05177221 	PRJNA323357	Proteobacteria	Gammaproteobacteria	5.42419	50.6015	chromosome:NZ_CP015912.1/CP015912.1; plasmid pSLy1:NZ_CP015913.1/CP015913.1; plasmid pSLy2:NZ_CP015914.1/CP015914.1; plasmid pSLy3:NZ_CP015915.1/CP015915.1; plasmid pSLy4:NZ_CP015916.1/CP015916.1; plasmid pSLy5:NZ_CP015917.1/CP015917.1	-	6	5691	5294	2016-07-06	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/679/985/GCF_001679985.1_ASM167998v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/679/985/GCA_001679985.1_ASM167998v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.88	18.18	5424193	0	6	6	5005730	5005730	904032	904032	5005730	5005730	50.6	3.56	87.75	11	5150	3	1193	11	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001682305.2	Escherichia coli strain EC590, complete genome	A	Escherichia coli	EC590	19668	SAMN05252777 	PRJNA325730	Proteobacteria	Gammaproteobacteria	4.6177	50.8	chromosome:NZ_CP016182.2/CP016182.2	-	1	4762	4353	2016-07-08	2017-04-05	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/682/305/GCF_001682305.2_ASM168230v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/682/305/GCA_001682305.2_ASM168230v2	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.67	0.04	0	4617703	0	1	1	4617703	4617703	4617703	4617703	4617703	4617703	50.8	0	87.51	11	4331	2	1170	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001683435.1	Escherichia coli strain K-15KW01, complete genome	B2	Escherichia coli	K-15KW01	19668	SAMN05291917 	PRJNA326753	Proteobacteria	Gammaproteobacteria	5.15464	50.4	chromosome:NZ_CP016358.1/CP016358.1	-	1	5271	4928	2016-07-11	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/683/435/GCF_001683435.1_ASM168343v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/435/GCA_001683435.1_ASM168343v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.11	0	5154641	0	1	1	5154641	5154641	5154641	5154641	5154641	5154641	50.4	0	87.69	11	4768	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001693635.1	Escherichia coli strain O177:H21, complete genome	B1	Escherichia coli	O177:H21	19668	SAMN05407982 	PRJNA329265	Proteobacteria	Gammaproteobacteria	5.49488	50.3712	chromosome:NZ_CP016546.1/CP016546.1; plasmid unnamed1:NZ_CP016547.1/CP016547.1; plasmid unnamed2:NZ_CP016548.1/CP016548.1; plasmid unnamed3:NZ_CP016549.1/CP016549.1; plasmid unnamed4:NZ_CP016550.1/CP016550.1; plasmid unnamed5:NZ_CP016551.1/CP016551.1	-	6	5882	5300	2016-07-26	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/693/635/GCF_001693635.1_ASM169363v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/635/GCA_001693635.1_ASM169363v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.4	0.59	10	5494878	0	6	6	5134536	5134536	915813	915813	5134536	5134536	50.4	5.27	87.13	11	5365	15	1184	7	1	0	0	complete	non-contaminate	non-heterogeneity
GCF_001721125.1	Escherichia coli strain FORC_028, complete genome	B1	Escherichia coli	FORC_028	19668	SAMN04026657 	PRJNA294502	Proteobacteria	Gammaproteobacteria	5.7044	50.6	chromosome:NZ_CP012693.1/CP012693.1	-	1	6174	5740	2016-09-07	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/125/GCF_001721125.1_ASM172112v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/721/125/GCA_001721125.1_ASM172112v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.38	0	5704396	0	1	1	5704396	5704396	5704396	5704396	5704396	5704396	50.6	0	87.19	11	5600	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001721225.1	Escherichia coli strain CFSAN004176, complete genome	A	Escherichia coli	CFSAN004176	19668	SAMN02688212 	PRJNA241122	Proteobacteria	Gammaproteobacteria	5.37647	50.4098	chromosome:NZ_CP014583.1/CP014583.1; plasmid pCFSAN004176G_02:NZ_CP012493.1/CP012493.1; plasmid pCFSAN004176P_01:NZ_CP012492.1/CP012492.1; plasmid pCFSAN004176P_03:NZ_CP012491.1/CP012491.1	-	4	5738	5147	2016-09-07	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/225/GCF_001721225.1_ASM172122v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/721/225/GCA_001721225.1_ASM172122v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	100	0.2	0	5376466	0	4	4	5193734	5193734	1344116	1344116	5193734	5193734	50.4	2.31	87.19	11	5268	0	1168	5	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001721525.1	Escherichia coli strain MS6198, complete genome	B2	Escherichia coli	MS6198	19668	SAMN04939501 	PRJNA301656	Proteobacteria	Gammaproteobacteria	5.59978	50.4726	chromosome:NZ_CP015834.1/CP015834.1; plasmid pMS6198A:NZ_CP015835.1/CP015835.1; plasmid pMS6198B:NZ_CP015836.1/CP015836.1; plasmid pMS6198C:NZ_CP015837.1/CP015837.1; plasmid pMS6198D:NZ_CP015838.1/CP015838.1	-	5	5832	5425	2016-09-08	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/525/GCF_001721525.1_ASM172152v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/721/525/GCA_001721525.1_ASM172152v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	1.28	5	5599783	0	5	5	5176750	5176750	1119956	1119956	5176750	5176750	50.5	1.48	87.76	11	5317	1	1154	17	1	0	0	complete	non-contaminate	non-heterogeneity
GCF_001723505.1	Escherichia coli strain K-12 NEB 5-alpha, complete genome	A	Escherichia coli	K-12 NEB 5-alpha	19668	SAMN05725120 	PRJNA341475	Proteobacteria	Gammaproteobacteria	4.58364	50.8	chromosome:NZ_CP017100.1/CP017100.1	-	1	4719	4390	2016-09-13	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/723/505/GCF_001723505.1_ASM172350v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/505/GCA_001723505.1_ASM172350v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4583637	0	1	1	4583637	4583637	4583637	4583637	4583637	4583637	50.8	0	87.64	11	4286	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001735705.1	Escherichia coli strain 210221272, complete genome	A	Escherichia coli	210221272	19668	SAMN05346848 	PRJNA328481	Proteobacteria	Gammaproteobacteria	4.73195	50.7889	chromosome:NZ_CP016404.1/CP016404.1; plasmid pSLy21:NZ_CP016405.1/CP016405.1	-	2	4880	4501	2016-09-20	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/735/705/GCF_001735705.1_ASM173570v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/735/705/GCA_001735705.1_ASM173570v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4731950	0	2	2	4668621	4668621	2365975	2365975	4668621	4668621	50.8	5.74	87.72	11	4455	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001753445.1	Escherichia coli O157:H7 strain 1130, complete genome	E	Escherichia coli O157:H7	1130	19668	SAMN04447635 	PRJNA291880	Proteobacteria	Gammaproteobacteria	5.50901	50.4546	chromosome:NZ_CP017434.1/CP017434.1; plasmid pO157:NZ_CP017435.1/CP017435.1	-	2	5834	5364	2016-10-06	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/445/GCF_001753445.1_ASM175344v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/445/GCA_001753445.1_ASM175344v1	83334	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.38	0	5509007	0	2	2	5416383	5416383	2754503	2754503	5416383	5416383	50.5	1.86	87.28	11	5276	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001753465.1	Escherichia coli O157:H7 strain 2149, complete genome	E	Escherichia coli O157:H7	2149	19668	SAMN04447629 	PRJNA291880	Proteobacteria	Gammaproteobacteria	5.50077	50.4546	chromosome:NZ_CP017436.1/CP017436.1; plasmid pO157:NZ_CP017437.1/CP017437.1	-	2	5824	5360	2016-10-06	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/465/GCF_001753465.1_ASM175346v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/465/GCA_001753465.1_ASM175346v1	83334	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.38	0	5500773	0	2	2	5408208	5408208	2750386	2750386	5408208	5408208	50.5	1.87	87.26	11	5258	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001753485.1	Escherichia coli O157:H7 strain 8368, complete genome	E	Escherichia coli O157:H7	8368	19668	SAMN04447624 	PRJNA291880	Proteobacteria	Gammaproteobacteria	5.53026	50.4514	chromosome:NZ_CP017444.1/CP017444.1; plasmid pO157:NZ_CP017445.1/CP017445.1	-	2	5885	5463	2016-10-06	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/485/GCF_001753485.1_ASM175348v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/485/GCA_001753485.1_ASM175348v1	83334	f__Enterobacteriaceae (UID5124)	134	1172	336	99.97	0.04	0	5530258	0	2	2	5437532	5437532	2765129	2765129	5437532	5437532	50.5	2.03	87.41	11	5299	1	1170	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001753505.1	Escherichia coli O157:H7 strain 2159, complete genome	E	Escherichia coli O157:H7	2159	19668	SAMN04447630 	PRJNA291880	Proteobacteria	Gammaproteobacteria	5.50923	50.4546	chromosome:NZ_CP017438.1/CP017438.1; plasmid pO157:NZ_CP017439.1/CP017439.1	-	2	5831	5365	2016-10-06	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/505/GCF_001753505.1_ASM175350v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/505/GCA_001753505.1_ASM175350v1	83334	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.38	0	5509229	0	2	2	5416633	5416633	2754614	2754614	5416633	5416633	50.5	1.87	87.28	11	5274	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001753525.1	Escherichia coli O157:H7 strain 9234, complete genome	E	Escherichia coli O157:H7	9234	19668	SAMN04447632 	PRJNA291880	Proteobacteria	Gammaproteobacteria	5.50318	50.4546	chromosome:NZ_CP017446.1/CP017446.1; plasmid pO157:NZ_CP017447.1/CP017447.1	-	2	5823	5354	2016-10-06	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/525/GCF_001753525.1_ASM175352v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/525/GCA_001753525.1_ASM175352v1	83334	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.38	0	5503176	0	2	2	5410617	5410617	2751588	2751588	5410617	5410617	50.5	1.87	87.28	11	5265	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001753545.1	Escherichia coli O157:H7 strain 3384, complete genome	E	Escherichia coli O157:H7	3384	19668	SAMN04447623 	PRJNA291880	Proteobacteria	Gammaproteobacteria	5.53132	50.4514	chromosome:NZ_CP017440.1/CP017440.1; plasmid pO157:NZ_CP017441.1/CP017441.1	-	2	5889	5471	2016-10-06	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/545/GCF_001753545.1_ASM175354v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/545/GCA_001753545.1_ASM175354v1	83334	f__Enterobacteriaceae (UID5124)	134	1172	336	99.97	0.04	0	5531320	0	2	2	5438591	5438591	2765660	2765660	5438591	5438591	50.5	2.03	87.41	11	5297	1	1170	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001753565.1	Escherichia coli O157:H7 strain 4276, complete genome	E	Escherichia coli O157:H7	4276	19668	SAMN04447636 	PRJNA291880	Proteobacteria	Gammaproteobacteria	5.49714	50.4545	chromosome:NZ_CP017442.1/CP017442.1; plasmid pO157:NZ_CP017443.1/CP017443.1	-	2	5822	5363	2016-10-06	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/565/GCF_001753565.1_ASM175356v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/565/GCA_001753565.1_ASM175356v1	83334	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.38	0	5497141	0	2	2	5404558	5404558	2748570	2748570	5404558	5404558	50.5	1.87	87.27	11	5254	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001806265.1	Escherichia coli strain NADC 5570/86-24/6565 isolate mutant, complete genome	E	Escherichia coli	NADC 5570/86-24/6565	19668	SAMN05729957 	PRJNA341860	Proteobacteria	Gammaproteobacteria	5.5598	50.4517	chromosome:NZ_CP017249.1/CP017249.1; plasmid pO157:NZ_CP017250.1/CP017250.1	-	2	5922	5440	2016-10-21	2018-01-12	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/265/GCF_001806265.1_ASM180626v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/806/265/GCA_001806265.1_ASM180626v1	562	f__Enterobacteriaceae (UID5124)	134	1172	336	99.97	0.33	0	5559797	0	2	2	5467107	5467107	2779898	2779898	5467107	5467107	50.4	2	87.31	11	5360	1	1169	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001806285.1	Escherichia coli strain NADC 5570/86-24/6564, complete sequence	E	Escherichia coli	NADC 5570/86-24/6564	19668	SAMN05729956 	PRJNA341860	Proteobacteria	Gammaproteobacteria	5.55946	50.4516	chromosome:NZ_CP017251.1/CP017251.1; plasmid pO157:NZ_CP017252.1/CP017252.1	-	2	5922	5433	2016-10-21	2018-01-12	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/285/GCF_001806285.1_ASM180628v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/806/285/GCA_001806285.1_ASM180628v1	562	f__Enterobacteriaceae (UID5124)	134	1172	336	99.97	0.33	0	5559461	0	2	2	5466770	5466770	2779730	2779730	5466770	5466770	50.4	2	87.25	11	5355	1	1169	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001860505.1	Escherichia coli strain Y5, complete genome	A	Escherichia coli	Y5	19668	SAMN04299569 	PRJNA304360	Proteobacteria	Gammaproteobacteria	4.83927	50.8	chromosome:NZ_CP013483.1/CP013483.1	-	1	4930	4589	2016-11-01	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/860/505/GCF_001860505.1_ASM186050v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/860/505/GCA_001860505.1_ASM186050v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.67	0.49	12.5	4839266	0	1	1	4839266	4839266	4839266	4839266	4839266	4839266	50.8	0	87.57	11	4493	2	1165	5	1	0	0	complete	non-contaminate	non-heterogeneity
GCF_001865295.1	Escherichia coli strain PA20, complete genome	E	Escherichia coli	PA20	19668	SAMN04040761 	PRJNA294158	Proteobacteria	Gammaproteobacteria	5.6186	50.5505	chromosome:NZ_CP017669.1/CP017669.1; plasmid pO157:NZ_CP017670.1/CP017670.1	-	2	6011	5586	2016-11-03	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/295/GCF_001865295.1_ASM186529v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/295/GCA_001865295.1_ASM186529v1	562	f__Enterobacteriaceae (UID5124)	134	1172	336	99.97	0.33	0	5618601	0	2	2	5525846	5525846	2809300	2809300	5525846	5525846	50.5	2.07	87.44	11	5431	1	1169	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001886535.1	Escherichia coli strain MRSN352231, complete genome	A	Escherichia coli	MRSN352231	19668	SAMN06029893 	PRJNA353939	Proteobacteria	Gammaproteobacteria	5.20092	50.7198	chromosome:NZ_CP018103.1/CP018103.1; plasmid pMR0716_ColRNAI:NZ_CP018108.1/CP018108.1; plasmid pMR0716_IncFII:NZ_CP018107.1/CP018107.1; plasmid pMR0716_PSE:NZ_CP018105.1/CP018105.1; plasmid pMR0716_mcr1:NZ_CP018106.1/CP018106.1; plasmid pMR0716_tem1:NZ_CP018104.1/CP018104.1	-	6	5499	5028	2016-11-28	2017-02-26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/535/GCF_001886535.1_ASM188653v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/886/535/GCA_001886535.1_ASM188653v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.1	0	5200916	0	6	6	4794148	4794148	866819	866819	4794148	4794148	50.7	3.32	87.4	11	4917	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001886555.1	Escherichia coli strain MRSN346638, complete genome	A	Escherichia coli	MRSN346638	19668	SAMN06029895 	PRJNA353939	Proteobacteria	Gammaproteobacteria	5.1165	50.7406	chromosome:NZ_CP018115.1/CP018115.1; plasmid pMRSN346638_119.3:NZ_CP018116.1/CP018116.1; plasmid pMRSN346638_5.3:NZ_CP018120.1/CP018120.1; plasmid pMRSN346638_61.1:NZ_CP018119.1/CP018119.1; plasmid pMRSN346638_64.5:NZ_CP018118.1/CP018118.1; plasmid pMRSN346638_67.9:NZ_CP018117.1/CP018117.1	-	6	5334	4929	2016-11-28	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/555/GCF_001886555.1_ASM188655v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/886/555/GCA_001886555.1_ASM188655v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.1	0	5116498	0	6	6	4798436	4798436	852749	852749	4798436	4798436	50.8	3.33	87.59	11	4818	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
